ee_r264_id,iso3_r250_id,iso3_r250_label,ee_r264_description,gep_subistence_fish
112,380,ITA,Italy,77993.62272
167,528,NLD,Netherlands,1445326.073
69,732,ESH,Western Sahara,1335000
54,192,CUB,Cuba,
138,504,MAR,Morocco,1335000
111,376,ISR,Israel,
264,716,ZWE,Zimbabwe,1268869.801
161,540,NCL,New Caledonia,
137,663,MAF,Saint-Martin,
110,352,ISL,Iceland,2087853.202
136,446,MAC,"China, Macao Special Administrative Region",
187,634,QAT,Qatar,
209,703,SVK,Slovakia,11456123.4
123,410,KOR,South Korea,
124,414,KWT,Kuwait,
210,705,SVN,Slovenia,0
219,764,THA,Thailand,
242,704,VNM,Vietnam,
172,512,OMN,Oman,
159,175,MYT,Mayotte,659307.375
158,458,MYS,Malaysia,
35,96,BRN,Brunei,
202,674,SMR,San Marino,
89,226,GNQ,Equatorial Guinea,
194,686,SEN,Senegal,0
239,862,VEN,Venezuela,
34,52,BRB,Barbados,
33,76,BRA,Brazil,16356035.52
218,768,TGO,Togo,0
180,616,POL,Poland,132191963.9
208,740,SUR,Suriname,
75,238,FLK,Falkland Islands,
3,24,AGO,Angola,
230,834,TZA,Tanzania,
109,368,IRQ,Iraq,
232,804,UKR,Ukraine,14295927.95
144,584,MHL,Marshall Islands,
68,232,ERI,Eritrea,0
224,776,TON,Tonga,
108,364,IRN,Iran,
41,166,CCK,Cocos Islands,98158709.32
170,520,NRU,Nauru,
243,548,VUT,Vanuatu,
27,70,BIH,Bosnia and Herzegovina,
88,624,GNB,Guinea-Bissau,
107,372,IRL,Ireland,329174.3857
229,158,TWN,Taiwan,
81,268,GEO,Georgia,
64,214,DOM,Dominican Republic,
193,729,SDN,Sudan,
262,894,ZMB,Zambia,453332.4651
179,598,PNG,Papua New Guinea,
201,222,SLV,El Salvador,
235,840,USA,United States,
122,659,KNA,Saint Kitts and Nevis,
171,554,NZL,New Zealand,37126743.77
135,428,LVA,Latvia,4265523.7
78,583,FSM,Micronesia,
207,678,STP,São Tomé and Príncipe,
96,328,GUY,Guyana,
166,570,NIU,Niue,
152,508,MOZ,Mozambique,0
160,516,NAM,Namibia,0
234,858,URY,Uruguay,
118,404,KEN,Kenya,51512.12
95,316,GUM,Guam,
134,442,LUX,Luxembourg,0
199,90,SLB,Solomon Islands,
2,4,AFG,Afghanistan,
26,44,BHS,Bahamas,
25,48,BHR,Bahrain,
94,254,GUF,French Guiana,659307.375
200,694,SLE,Sierra Leone,
87,270,GMB,Gambia,
176,604,PER,Peru,
238,670,VCT,Saint Vincent and the Grenadines,
7,20,AND,Andorra,
165,558,NIC,Nicaragua,
63,208,DNK,Denmark,1386664.49
53,188,CRI,Costa Rica,
157,454,MWI,Malawi,
86,312,GLP,Guadeloupe,659307.375
40,124,CAN,Canada,2740256475
74,242,FJI,Fiji,
67,818,EGY,Egypt,
227,792,TUR,Turkey,1816596.319
236,860,UZB,Uzbekistan,256479.825
45,384,CIV,Côte d'lvoire,
93,320,GTM,Guatemala,
77,234,FRO,Faroe Islands,
228,798,TUV,Tuvalu,
39,140,CAF,Central African Republic,
60,276,DEU,Germany,766147840
24,100,BGR,Bulgaria,6624555
151,580,MNP,Northern Mariana Islands,
16,40,AUT,Austria,90541514.7
15,36,AUS,Australia,98158709.32
226,788,TUN,Tunisia,0
99,340,HND,Honduras,
32,68,BOL,Bolivia,
23,50,BGD,Bangladesh,7658223.107
133,440,LTU,Lithuania,6167613.75
178,585,PLW,Palau,
76,250,FRA,France,659307.375
206,728,SSD,South Sudan,
169,524,NPL,Nepal,
143,484,MEX,Mexico,130106399.2
